Category,Name,Phone / Info,Link Type,Image URL
International Cuisine,Bistr'haut,+961 3 481 097,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-02-16-1.jpg
International Cuisine,Pancho Vino,+961 70 517 070,Location,https://explorefaraya.com/wp-content/uploads/2025/01/Snapinst.app_469618308_18067770787665568_8142628902883166872_n_1080-2.jpg
International Cuisine,El Mexicano,+961 3 624 872,Location,https://explorefaraya.com/wp-content/uploads/2025/01/unnamed-1.jpg
International Cuisine,RIKKY'Z,+961 3 120 201,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2020-01-06-1.jpg
International Cuisine,Panorama Cafe,+961 76 851 540,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-02-28-1.jpg
International Cuisine,Auberge Le Valais,+961 3 552 227,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-08-27-1.jpg
International Cuisine,Amelia,+961 76 666 426,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2023-03-17-1.jpg
International Cuisine,SAPA,+961 70 911 444,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2020-12-27-1.jpg
International Cuisine,Mons,+961 3 117 331,Location,https://explorefaraya.com/wp-content/uploads/2025/01/Snapinst.app_473619002_582543677915137_9191176188857093495_n_1080-1.jpg
Night Life & Pubs,Mons,+961 3 117 331,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-02-14-1.jpg
Night Life & Pubs,Amelia,+961 76 666 426,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-03-04-1.jpg
Night Life & Pubs,RIKKY'Z,+961 3 120 201,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2023-07-09-1.jpg
Night Life & Pubs,SAPA,+961 70 911 444,Location,https://explorefaraya.com/wp-content/uploads/2025/01/Snapinst.app_456327225_18412065340079984_1865267246323226218_n_1080-1.jpg
Night Life & Pubs,Ninety Degree Rooftop,+961 3 283 696,Location,https://explorefaraya.com/wp-content/uploads/2025/01/IMG-20240630-WA0007-1.jpg
Night Life & Pubs,ESPACE AFEER by DARLING,+961 78 944 496,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-08-16-1.jpg
Night Life & Pubs,The Last Sunset,+961 81 862 345,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2023-07-21-1.jpg
Night Life & Pubs,The Wine Haven,+961 70 002 909,Location,https://explorefaraya.com/wp-content/uploads/2025/09/TWH-24-min-1.jpg
Coffee Shops,Lttl Bean,+961 76 425 595,Location,https://explorefaraya.com/wp-content/uploads/2026/06/images-4-1.jpg
Coffee Shops,Caffino,+961 81 110 080,Instagram (@caffino.lb),https://explorefaraya.com/wp-content/uploads/2026/06/Gemini_Generated_Image_nq6slenq6slenq6s-1.png
Bakeries & Saj,Furn Em Youssef,+961 76 646 861,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-07-04-1.jpg
Bakeries & Saj,Diwan El Beit,+961 70 338 732,Location,https://explorefaraya.com/wp-content/uploads/2025/01/PXL_20240201_121158100-1.jpg
Bakeries & Saj,Forn Chez Joseph,+961 3 559 443,Location,https://explorefaraya.com/wp-content/uploads/2025/01/IMG_20190104_081312-1.jpg
Bakeries & Saj,The Brothers Snack,+961 71 894 274,Location,https://explorefaraya.com/wp-content/uploads/2025/01/Snapinst.app_356403488_284525960740853_7452293141046873609_n_1080-1.jpg
Bakeries & Saj,Saj Abou Artine,+961 81 371 959,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2021-09-19-1.jpg
Bakeries & Saj,Saj Mema,+961 9 321 339,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-03-24-1.jpg
Bakeries & Saj,Top Saj,+961 3 395 699,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-07-31-1.jpg
Bakeries & Saj,Saj Em Bachir,+961 9 321 117,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2021-06-02-1.jpg
Bakeries & Saj,Bel Forn,+961 9 321 112,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2020-10-25-1.jpg
Bakeries & Saj,Furn El Chewye,+961 70 118 429,WhatsApp,https://explorefaraya.com/wp-content/uploads/2025/01/pexels-shameel-mukkath-3421394-5175622-1.jpg
Bakeries & Saj,Furn Al-Wadi,+961 9 321 494,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-10-06-1.jpg
Bakeries & Saj,Saj Hoda,+961 70 300 323,Location,https://explorefaraya.com/wp-content/uploads/2025/09/9d78d1920d3e27d01d52cec63dba6215-1.jpg
Snacks,Faraya Café,+961 3 194 380,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2020-10-04-1.jpg
Snacks,Falafel Louis,+961 3 788 300,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2019-07-22-1.jpg
Snacks,Pizzanini,+961 81 079 097,Menu (Google Drive PDF),https://explorefaraya.com/wp-content/uploads/2026/05/Screenshot-2026-05-01-204220.png
Snacks,Malak Al Tawouk,1592,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2023-10-28-1.jpg
Snacks,La Plancha,+961 76 133 303,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-06-25-1.jpg
Snacks,Foul House,+961 76 029 923,Location,https://explorefaraya.com/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-13-at-23.20.53_4ad3a9b7-rotated-e1759046543154.jpg
Snacks,Diwan El Beit,+961 70 338 732,Location,https://explorefaraya.com/wp-content/uploads/2025/01/PXL_20240201_121158100-1.jpg
Snacks,Snack Abou Artine,+961 81 371 959,Location,https://explorefaraya.com/wp-content/uploads/2025/01/Snapinst.app_116050659_177557043750190_6587177511066751803_n_1080-1.jpg
Snacks,Pork Tartine,+961 81 777 696,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2017-08-23-1.jpg
Snacks,The Brothers Snack,+961 71 894 274,Location,https://explorefaraya.com/wp-content/uploads/2025/01/Snapinst.app_356403488_284525960740853_7452293141046873609_n_1080-1.jpg
Snacks,Cj Café,+961 79 321 000,Location,https://explorefaraya.com/wp-content/uploads/2025/01/471206023_1101177871709335_4051430579138344276_n-1.jpg
Snacks,Bel Forn,+961 9 321 112,Location,https://explorefaraya.com/wp-content/uploads/2025/09/IMG-20200504-WA0094-1-1.jpg
Snacks,Al Tannour Snack,+961 9 321 435,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-25-at-11.53.49-PM-2-1-1.jpeg
Snacks,Taht El Delbe,+961 70 118 128,Location,https://explorefaraya.com/wp-content/uploads/2025/09/WhatsApp-Image-2025-09-04-at-22.43.51_991fb4ba-e1759046440958.jpg
Sweets & Desserts,Sweets & Coffee,+961 70 989 010,Location,https://explorefaraya.com/wp-content/uploads/2025/01/20220619_174936-1.jpg
Sweets & Desserts,Snow Cream,+961 3 940 849,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2023-08-28-1.jpg
Sweets & Desserts,Baguette de Faraya,+961 9 321 226,Location,https://explorefaraya.com/wp-content/uploads/2025/01/Screenshot-2024-10-12-at-5.07.08-PM-1.png
Markets,Pick n Pay,+961 70 994 914,Location,https://explorefaraya.com/wp-content/uploads/2025/01/image-1.jpg
Markets,Youssef Salameh Market,+961 9 321 186,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-26-at-12.56.32_bd48b820-1-1.jpg
Markets,Mountain Market,+961 70 612 888,Call,https://explorefaraya.com/wp-content/uploads/2025/01/IMG_20200730_233857977-1.jpg
Markets,Mema Market,+961 9 321 112,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2017-06-27-1.jpg
Markets,Frutopia - Abou Ali Fruits,+961 81 862 998,Location,https://explorefaraya.com/wp-content/uploads/2025/05/colorful-collage-fruits-texture-close-up-1.jpg
Markets,Market Aleb Yasou3,+961 3 723 873,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-9.52.10-AM-scaled-1-1.jpeg
Markets,Rabih Khalil Market,+961 9 321 004,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-03-23-1.jpg
Markets,Chalioto Vegetables & Fruits Faraya,+961 71 608 674,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-4.02.39-PM-1-1.jpeg
Markets,Bteich Supermarket,+961 9 321 226,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-09-29-1.jpg
Markets,Supemarket House,+961 9 321 232,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2018-02-11-1.jpg
Markets,Market Youssef Ragheb Salameh,+961 9 321 353,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2021-08-23-1-1.jpg
Markets,Mini Market Faraya,+961 9 321 546,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-26-at-12.59.46-PM-1.jpeg
Markets,Tout Pas Tout Market,+961 76 835 617,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-26-at-11.43.14-PM-1-1-1.jpeg
Markets,River Market,+961 3 731 774,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-17-at-8.28.55-PM-1.jpeg
Markets,Mhanna Market,+961 70 284 205,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-26-at-12.52.52-PM-1.jpeg
Markets,Jour Et Nuit,+961 9 321 020,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-29-at-10.41.52-AM-1-1-1.jpeg
Markets,Moonetna,+961 3 917 327,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-12.51.36-PM-2-1-1.jpeg
Markets,Mounit Leila,+961 71 071 515,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2023-09-05-1-1.jpg
Markets,Press & Mill,+961 3 707 961,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-12.54.09-PM-1-1.jpeg
Markets,Mini Mercado,+961 9 321 811,Call (+961 81 556 020),https://explorefaraya.com/wp-content/uploads/2025/11/470672571_1189938463135089_407733576673800035_n-1.jpg
Butchers,Meaters,+961 9 321 494,Location,https://explorefaraya.com/wp-content/uploads/2025/01/Screenshot-2022-09-12-083010-1.jpg
Butchers,Al-Wadi Butchery,+961 9 321 494,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2025-01-30-at-22.11.44_67827a29-1.jpg
Shisha Shops,Cinder - Hookah & Accessories Store,+961 76 738 000,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2020-11-29-1.jpg
Shisha Shops,Arguilet El Beik,+961 70 793 608,WhatsApp,https://explorefaraya.com/wp-content/uploads/2025/01/Snapinst.app_451573122_513935530975727_3008572161282992139_n_1080-1.jpg
Activity Hub,Groupe Z,+961 70 938 487,Location,https://explorefaraya.com/wp-content/uploads/2025/01/353067616_728872472574560_2190883725810840660_n-1-1.jpg
ATV & Skidoo,Mountain Services and Transport,+961 70 612 777,Website (mountainleb.com),https://explorefaraya.com/wp-content/uploads/2025/01/db85c834723e4235a550c69c56f8584e-1.webp
ATV & Skidoo,Highland Club,+961 76 860 867,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2023-03-14-1.jpg
ATV & Skidoo,Pro X Riding Club,+961 3 155 135,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-05-01-1.jpg
ATV & Skidoo,All Road Club,+961 3 836 207,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-23-at-2.02.44-PM-2-1-1.jpeg
Ski Shops,Ski Shop,+961 3 249 049,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2022-01-28-at-10.09.10-AM-1.jpeg
Ski Shops,Skiline,+961 3 776 089,Call,https://explorefaraya.com/wp-content/uploads/2025/01/463845189_2964950743659120_7569036665136265008_n-1.jpg
Ski Shops,Eddie's Sport,+961 3 940 354,Location,https://explorefaraya.com/wp-content/uploads/2025/01/close-up-snowboarding-glasses-snow-1.jpg
Ski Shops,Charles Sport,+961 3 181 625,Location,https://explorefaraya.com/wp-content/uploads/2025/01/IMG_8489-1.jpg
Ski Shops,Mzaar Sport,+961 3 461 624,Location,https://explorefaraya.com/wp-content/uploads/2025/01/woman-selecting-ski-shop-1.jpg
Ski Shops,Le Marathon,+961 3 181 625,Call,https://explorefaraya.com/wp-content/uploads/2025/01/winter-snow-sports-background-with-ski-poles-goggles-hats-gloves-with-copyspace-1.jpg
Ski Shops,Mountain Ski Shop,+961 70 612 777,Location,https://explorefaraya.com/wp-content/uploads/2025/01/women-snowboard-suit-sportswomen-mountain-with-snowboard-hands-horizon-concept-sports-1.jpg
Hiking,Juniper Journey,+961 3 447 528,Location,https://explorefaraya.com/wp-content/uploads/2025/01/469103761_867746365526558_4046163530060756012_n-1.jpg
Camping & Campsites,Acampar,+961 71 860 068,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2020-07-20-1.jpg
Camping & Campsites,Sheer,+961 71 777 483,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-25-at-11.29.54-PM-1-1-1.jpeg
Camping & Campsites,Al Ghwebe,+961 3 447 528,Location,https://explorefaraya.com/wp-content/uploads/2025/09/WhatsApp-Image-2025-09-04-at-22.38.18_888e5e28-e1757014793888.jpg
Clothing & Lingerie,Libellule Linge de Maison,+961 71 044 100,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-12.56.04-PM-2-1.jpeg
Clothing & Lingerie,B-Ropa,+961 70 314 188,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-02-14-at-12.09.43_b34b6ee7-1.jpg
Clothing & Lingerie,Wonder,+961 76 738 000,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-12.56.05-PM-3-1-1.jpeg
Dollar Stores,Tip Top,+961 79 117 443,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-12.51.35-PM-3-1.jpeg
Dollar Stores,Makhlouf Fireworks & Gifts Faraya,+961 3 943 226,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-12.51.36-PM-1-1-1.jpeg
Dollar Stores,Elie Abdalla's $1 Store,+961 3 584 504,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-26-at-12.53.44-PM-1-1.jpeg
Dollar Stores,Jean Khalil's $1 Shop,+961 3 931 712,Call,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-1.40.32-PM-1-2-1.jpeg
Electronic Stores,TechnoloJe,+961 81 251 096,Location,https://explorefaraya.com/wp-content/uploads/2025/01/images-1.png
Electronic Stores,Star Electronics,+961 3 372 941,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2018-08-16-1.jpg
Electronic Stores,R.T.A. Electrics,+961 3 900 443,Location,https://explorefaraya.com/wp-content/uploads/2025/01/20171028_151913-1.jpg
Money Transfer,Photo Expert & OMT,+961 3 977 221,Call,https://explorefaraya.com/wp-content/uploads/2025/01/images-2-1.png
Money Transfer,Whish Money,,None,https://explorefaraya.com/wp-content/uploads/2025/01/unnamed-1-1.jpg
Gas Stations,Wardieh Mema Station,+961 76 544 544,Location,https://explorefaraya.com/wp-content/uploads/2025/01/272817285_1322919428171268_2880493131788531361_n-2.jpg
Gas Stations,Total Energies - Georges Mema Station,+961 9 321 020,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-04-11-1.jpg
Gas Stations,"IPT ""Faraya"" Station",+961 70 180 878,Location,https://explorefaraya.com/wp-content/uploads/2025/01/1991Image2-1.jpg
Hairdressers,Ziad Beaino - Salon for Women,+961 3 708 756,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-12.48.15-PM-1-1-1.jpeg
Hairdressers,Salon Maurice for Men,+961 76 110 455,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-12.48.17-PM-2-1.jpeg
Hairdressers,Salon Chahine For Men,+961 3 734 712,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-27-at-12.56.08-PM-1-1-1.jpeg
Hairdressers,Pauline Abdallah - Women,+961 71 194 770,Location,https://explorefaraya.com/wp-content/uploads/2025/01/Screenshot-2024-07-27-234752-1.png
Hairdressers,Salon Rabih Salameh for Men,+961 3 552 371,Location,https://explorefaraya.com/wp-content/uploads/2025/04/1744575342421.jpg
Pharmacies,Pharmacy Dany,+961 9 321 882,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-05-17-1.jpg
Taxi,Samir Taxi,+961 70 103 010,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2024-05-13-1.jpg
Taxi,Snow Taxi,+961 3 583 068,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-20-at-8.19.27-PM-1-1.jpeg
Taxi,Ralph Khalil Transport and Tourism,+961 76 972 010,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-07-30-at-12.17.43-PM-1-1-1.jpeg
Kids Animation & Fun,Geanimate Animation,+961 78 928 996,Location,https://explorefaraya.com/wp-content/uploads/2025/01/Snapinst.app_465950956_942493607928250_5036562321735495761_n_1080-1.jpg
Kids Animation & Fun,Cheer Up Animation,+961 71 385 467 / +961 79 107 977,Location,https://explorefaraya.com/wp-content/uploads/2025/01/IMG-20240723-WA0052-1.jpg
Kids Animation & Fun,L'Atelier de Faraya,+961 70 938 487,Location,https://explorefaraya.com/wp-content/uploads/2025/01/download-1-1.jpg
Decoration,In Details by Tania Khalil,+961 76 145 930,Location,https://explorefaraya.com/wp-content/uploads/2025/01/WhatsApp-Image-2024-09-10-at-9.43.12-AM-1.jpeg
Board Games,Moutcho Board Games,+961 71 899 389,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2023-08-17-1.jpg
Diet & Nutrition,Clemence Atallah Mema,+961 3 999 320,Website (explorefaraya.com/diet.clemence),https://explorefaraya.com/wp-content/uploads/2025/02/Clemence-mema-1-1.png
Government Representation,Faraya Municipality,+961 9 321 429,Location,https://explorefaraya.com/wp-content/uploads/2025/01/2017-03-18-1.jpg
Government Representation,Snow Shoveling Center,+961 9 321 542,Location,https://explorefaraya.com/wp-content/uploads/2025/01/Faraya-1.jpg
